author_channel_id,community_id,community_size,grado_aa,author_name,n_comentarios,n_videos
UCozFYHN0e_-vlQbX3wQGOug,6,18,17,@jesusguzman2321,1.0,1.0
UCp29O_C7cchZV8IxV7Crdag,2,61,31,@robertoescobar5507,2.0,1.0
UCp4iw5_5SmV9VGTFSNVGOmQ,1,126,127,@CARLOSSTREMS51,1.0,1.0
UCpIdtvoFHVLGASGB5ySqIEA,1,126,127,@VidalVillatoro-p4w,1.0,1.0
UCp_dAUfv8i3LW3zWc24dLaQ,6,18,17,@MarioCortez-o6v,1.0,1.0
UCpe5jW3MIqkgTJ-PgkzvM6Q,3,55,48,@carloslam5333,1.0,1.0
UCpl8rF8uv_8uui-QRvuJaRA,1,126,127,@SergioGarcia-z9c,1.0,1.0
UCplrIQtaPj6au60_f2-mOYw,1,126,127,@romeolopezherrarte799,1.0,1.0
UCpsKOkt5iWTbenzeuq7dsmQ,3,55,183,@inge_vergueta,3.0,3.0
UCq3mDTTRZnUybct5M9OSXbg,2,61,12,@MacoMorales-i2i2d,1.0,1.0
UCqCrvuoJpC-aVb0f4logQRQ,3,55,48,@Lyrics_GT,1.0,1.0
UCqilIa8r7iek5sGYg_q6ofA,5,25,24,@rolandojuchuna484,1.0,1.0
UCql1n3Ey6ULMSOACjMe-fxQ,2,61,31,@RolandoGonzalez-o7g,1.0,1.0
