author_channel_id,author_name,n_comentarios,n_videos,grado
UCp4iw5_5SmV9VGTFSNVGOmQ,@CARLOSSTREMS51,1.0,1.0,127
UCpIdtvoFHVLGASGB5ySqIEA,@VidalVillatoro-p4w,1.0,1.0,127
UCp_dAUfv8i3LW3zWc24dLaQ,@MarioCortez-o6v,1.0,1.0,17
UCpe5jW3MIqkgTJ-PgkzvM6Q,@carloslam5333,1.0,1.0,48
UCpl8rF8uv_8uui-QRvuJaRA,@SergioGarcia-z9c,1.0,1.0,127
UCplrIQtaPj6au60_f2-mOYw,@romeolopezherrarte799,1.0,1.0,127
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3.0,3.0,183
UCq3mDTTRZnUybct5M9OSXbg,@MacoMorales-i2i2d,1.0,1.0,12
UCqCrvuoJpC-aVb0f4logQRQ,@Lyrics_GT,1.0,1.0,48
UCqilIa8r7iek5sGYg_q6ofA,@rolandojuchuna484,1.0,1.0,24
UCql1n3Ey6ULMSOACjMe-fxQ,@RolandoGonzalez-o7g,1.0,1.0,31
UCr1emrogPKkKTs_WTtx71xg,@domingopeneleu6457,1.0,1.0,127
UCrJn_rbo_ENAdeqneS-RmRw,@josecarrera9623,2.0,1.0,127
UCrqXyRsg-_hTosURZ-uvoKg,@flornolberto2425,1.0,1.0,17
UCsGoJEvb-cFPZ2rWoJcXzEQ,@sergiohinestroza9709,1.0,1.0,48
UCsJJAvrVGupdmhOqgtDp8dg,@nestorlorenzana1168,1.0,1.0,127
UCsSXdJct-nsS8DsABoEsaYA,@IvánPérez-j4j,1.0,1.0,127
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,2.0,2.0,133
UCs_5qeqdku9tGAq22y3OcuQ,@alexandrevasquez4135,1.0,1.0,24
UCsjs5Hp_r86x1xbK6FAeqaA,@alvaroesquivel563,1.0,1.0,127
UCtCtts20bW6F9CSohau51Iw,@carlosgranados9875,2.0,1.0,31
UCtMBF_1O2jY2INlb_luuB_A,@mynorgudiel8646,1.0,1.0,24
UCtNfIBnc5S5DbbQj_yxgJTw,@JosueRamirez-ey3ih,1.0,1.0,127
UCtNyHmRZtvGF2hSvI2dUBWw,@aureliomaldonado4793,2.0,1.0,18
UCtUR3_CAiE7fCoZHM6cMfyQ,@mdelcid01,1.0,1.0,127
UCtiHFjFu7d5v2XxHnKFUYig,@Paul-gf7ec,1.0,1.0,17
UCtowGNY2lnlg6O2CkwDgkLg,@taniagabrielacelis8434,1.0,1.0,3
UCtsxPYw8VUsH_FfnKg-0lmw,@AlejandroPérez-b6r,1.0,1.0,31
UCu8_3-Wg-YzNyvHYQDEscfw,@RolandoCastroPérez-d7y,1.0,1.0,48
UCuP4UK33HKtJE_S39ksmaTw,@herbertaguilar1387,1.0,1.0,18
UCuXmOjxC-htcprLgeVXz6Tg,@jorgeaguilar-bq3uj,1.0,1.0,48
UCueV9cTyTDwgQSec1x2dYgA,@fredydomingo7062,1.0,1.0,127
UCujPF2nBgsTD62nWE3lcpIg,@victorarturoruanobautista7588,1.0,1.0,127
UCusjriFsDHEc2AOjqk-p5ig,@pablobarrios7931,1.0,1.0,18
UCut6b9S98nv84cVX89PmKzA,@yeniferaguirre4498,2.0,1.0,127
UCvApqeCbLod-wejtT4CcVuA,@davidgaher9550,1.0,1.0,127
UCvDwJBBY1mHK70aTEYl6rsA,@cristianescobedo8296,1.0,1.0,31
